"id","geom","name","address_1","postcode","type","service","_24hr"
1,"0101000020346C0000A2A470C15DA40F415B019D6B3F331141","Bronglais General Hospital","Caradog Road, Aberystwyth","SY23 1ER","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
2,"0101000020346C000082B6BE1A5E5412414337B33250F31641","Glan Clwyd Hospital","Rhuddlan Road, Bodelwyddan, Rhyl, Denbighshire","LL18 5UJ","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
3,"0101000020346C0000B898EB3B62A30D41409AEC65E0010B41","Glangwili General Hospital","Dolgwili Road, Glangwili, Carmarthen","SA31 2AF","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
4,"0101000020346C0000C24D837B2B41104174F5439294700841","Morriston Hospital","Swansea, Heol Maes Eglwys, Cwmrhydyceirw, Swansea","SA6 6NL","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
5,"0101000020346C000022FD4B190E1214410ABC2DF9732F0A41","Nevill Hall Hospital","Brecon Road, Abergavenny, Gwent","NP7 7EG","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
6,"0101000020346C000005EA13339095124104AD645F2C690941","Prince Charles Hospital","Merthyr Tydfil, Mid Glamorgan","CF47 9DT","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
7,"0101000020346C000072A968B4A9C311419C7F527270190641","Princess of Wales Hospital","Coity Road, Bridgend, Mid Glamorgan","CF31 1RQ","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
8,"0101000020346C000036ED6B9C90881241D2F1C94A98790641","Royal Glamorgan Hospital","Ynysmaerdy, Pontyclun, Llantrisant","CF72 8XR","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
9,"0101000020346C00008242004CDA32144180FE639580DB0641","Royal Gwent Hospital","Cardiff Road, Newport, Gwent","NP20 2UB","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
10,"0101000020346C000090659E84C7611341823F407FE1E30541","University Hospital of Wales","Heath Park, Cardiff","CF14 4XW","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
11,"0101000020346C00006D9F50381AE40741D4D5E7C937780A41","Withybush General Hospital","Fishguard Road, Haverfordwest, Pembs.","SA61 2PZ","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
12,"0101000020346C0000C0DC2BD0634914412D0F54C856621541","Wrexham Maelor Hospital","Croesnewydd Road, Wrexham","LL13 7TD","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
13,"0101000020346C000036D7E1C0A33B0F4164530502F8971641","Ysbyty Gwynedd","Penrhosgarnedd, Bangor, Gwynedd","LL57 2PW","Type of Hospital: Major acute  -  Major A&E - Open","Major A&E","24"
14,"0101000020346C00007615F63B79D10E41863D7AF6DB940841","Prince Philip Hospital","Bryngwyn Mawr, Dafen, Llanelli","SA14 8QF","Type of Hospital: Major acute  -  Minor A&E - Open","Minor A&E","24"
15,"0101000020346C000054D0FC6977F712418A7D077913A40441","Barry Hospital","Colcot Road, Barry, South Glamorgan","CF62 8YH","Type of Hospital: Community","Minor Injuries Unit","Not 24"
16,"0101000020346C000034BBD1DD6B9C1241566056F650EC0B41","Brecon War Memorial Hospital","Cerrigochion Road, Brecon, Powys","LD3 7NS","Type of Hospital: Community","Minor Injuries Unit","24"
17,"0101000020346C00000330740B0C2F0D4154CB6FD0F49B1441","Bryn Beryl Hospital","Caernarfon Road, Pwllheli, Gwynedd","LL53 6TT","Type of Hospital: Community","Minor Injuries Unit","Not 24"
18,"0101000020346C00009D6071C685AB1241382FE00D7D5C1641","Denbigh Community Hospital","Ruthin Road, Denbigh, Denbighshire","LL16 3ES","Type of Hospital: Community","Minor Injuries Unit","Not 24"
19,"0101000020346C0000A1CBAF386DAA1041A7B3A79E10621341","Dolgellau & Barmouth District Hospital","Dolgellau, Gwynedd","LL40 1NT","Type of Hospital: Community","Minor Injuries Unit","Not 24"
