"id","geom","school_cod","sch_name","lea_name_e","school_ty0","gender_mix","school_lan","status_nam","address_1","address_2","address_3","postcode","full_detai"
1,"0101000020346C00007CA8D65434C10D41E63E4F49E0EE1741","6604025","Ysgol Syr Thomas Jones","Isle of Anglesey","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Pentrefelin","Amlwch","Ynys Mon","LL68 9TH","http://mylocalschool.wales.gov.uk/School/6604025"
2,"0101000020346C000044C7A85A865F0B41A89DA35A945A1741","6604026","Ysgol Uwchradd Caergybi","Isle of Anglesey","Uwchradd (ystod oedran 11-19)","Mixed","English with significant Welsh","Open","Caergybi","Ynys Môn",NULL,"LL65 1NP","http://mylocalschool.wales.gov.uk/School/6604026"
3,"0101000020346C0000B2C55DC82CF20D41ED35756C04EF1641","6604027","Ysgol Gyfun Llangefni","Isle of Anglesey","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Llangefni","Ynys Môn",NULL,"LL77 7NG","http://mylocalschool.wales.gov.uk/School/6604027"
4,"0101000020346C0000B26C52D692190F41F3C83751D6B91641","6604028","Ysgol David Hughes","Isle of Anglesey","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Ffordd Pentraeth","Porthaethwy","Ynys Môn","LL59 5SS","http://mylocalschool.wales.gov.uk/School/6604028"
5,"0101000020346C000072558CBB47750C410B381D927F321741","6604029","Ysgol Uwchradd Bodedern","Isle of Anglesey","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type B)","Open","Bro Alaw","Bodedern","Caergybi","LL65 3SU","http://mylocalschool.wales.gov.uk/School/6604029"
6,"0101000020346C0000B28B0B0331FF0F41A0D5CE2141671641","6614002","Ysgol Dyffryn Ogwen Bethesda","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type A)","Open","Ffordd Coetmor","Bethesda","Gwynedd","LL57 3NN","http://mylocalschool.wales.gov.uk/School/6614002"
7,"0101000020346C0000D242E1C2029F0B41E667FCCE703B1441","6614003","Ysgol Botwnnog","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Open","Botwnnog","Llyn","Gwynedd","LL53 8PY","http://mylocalschool.wales.gov.uk/School/6614003"
8,"0101000020346C0000E5E2A134BDF30E41BA8F33F07F331641","6614004","Ysgol Brynrefail","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type A)","Open","Llanrug","Caernarfon","Gwynedd","LL55 4AD","http://mylocalschool.wales.gov.uk/School/6614004"
9,"0101000020346C0000E79CFB4146320E417F880A4EDF8D1541","6614007","Ysgol Dyffryn Nantlle","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type A)","Open","Ffordd Y Brenin","Penygroes","Gwynedd","LL54 6RL","http://mylocalschool.wales.gov.uk/School/6614007"
10,"0101000020346C000075C12F15DB5A0F41A5CAAF856AB51441","6614009","Ysgol Eifionydd","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Open","Porthmadog","Gwynedd",NULL,"LL49 9HS","http://mylocalschool.wales.gov.uk/School/6614009"
11,"0101000020346C0000DC4CEF44B5AC10413E2E68D7FE621341","6614030","Ysgol Y Gader","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Closed","Dolgellau","Gwynedd","null","LL40 1HY","http://mylocalschool.wales.gov.uk/School/6614030"
12,"0101000020346C00002FBDFB60F07A1041241F87D9E3171541","6614031","Ysgol Y Moelwyn","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Open","Heol Wynne","Blaenau Ffestiniog","Gwynedd","LL41 3DW","http://mylocalschool.wales.gov.uk/School/6614031"
13,"0101000020346C0000EA237DF02C8F0F419DBB3B85C9581241","6614032","Ysgol Uwchradd Tywyn","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Open","Station Road","Tywyn","Gwynedd","LL36 9EU","http://mylocalschool.wales.gov.uk/School/6614032"
14,"0101000020346C0000D3869EA23FDC1141EB4D5E1CD3851441","6614033","Ysgol Y Berwyn","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type A)","Open","Y Bala","Gwynedd",NULL,"LL23 7BN","http://mylocalschool.wales.gov.uk/School/6614033"
15,"0101000020346C000026D4E5452F7D0F41BCB1C4779B3B1441","6614034","Ysgol Ardudwy","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Open","Ffordd y Traeth","Harlech","Gwynedd","LL46 2UH","http://mylocalschool.wales.gov.uk/School/6614034"
16,"0101000020346C000060595E4B354C0F41F9A99C9FEDA61641","6614036","Ysgol Friars","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","English with significant Welsh","Open","Lon y Bryn","Bangor","Gwynedd","LL57 2LN","http://mylocalschool.wales.gov.uk/School/6614036"
17,"0101000020346C00009826C655BD5B0F413ABFC493ADAA1641","6614037","Ysgol Tryfan","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type A)","Open","Lon Powys","Bangor","Gwynedd","LL57 2TU","http://mylocalschool.wales.gov.uk/School/6614037"
18,"0101000020346C000074E4BBAE0F5B0E4184088763982D1641","6614039","Ysgol Syr Hugh Owen","Gwynedd","Uwchradd (ystod oedran 11-19)","Mixed","Bilingual (Type A)","Open","Bethel Road","Caernarfon","Gwynedd","LL55 1HW","http://mylocalschool.wales.gov.uk/School/6614039"
19,"0101000020346C00004C4C41FBFFF00C4199CC2373A2681441","6614040","Ysgol Glan Y Mor","Gwynedd","Uwchradd (ystod oedran 11-16)","Mixed","Bilingual (Type A)","Open","Ffordd Caerdydd","Pwllheli","Gwynedd","LL53 5NU","http://mylocalschool.wales.gov.uk/School/6614040"
20,"0101000020346C00005F96AAE532FF1041AB1188A67A471741","6624022","Ysgol John Bright","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Maesdu Road","Llandudno",NULL,"LL30 1LF","http://mylocalschool.wales.gov.uk/School/6624022"
21,"0101000020346C0000B448D0F1A6F11041AAFCDB2AC6151741","6624023","Ysgol Aberconwy","Conwy","Uwchradd (ystod oedran 11-19)","Mixed","English medium","Open","Morfa Drive","Conwy",NULL,"LL32 8ED","http://mylocalschool.wales.gov.uk/School/6624023"
