id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing,geom
1,-2.972152,53.212242,W01000332,60,2016-03-09,3,2,2,6,30,1,0,0,0101000020346C000085E552BC1C7514416606F2DC6A821641
2,-4.258982,52.967692,W01000066,60,2016-01-01,1,1,1,6,60,1,0,0,0101000020346C0000501B91F529520E41C98C67FEC1F71441
3,-3.644616,52.94619,W01000082,60,2016-01-01,3,1,1,6,60,5,0,0,0101000020346C000047270E86D8AC114164C3F827D9C01441
4,-3.806557,53.322118,W01000132,60,2016-01-01,3,3,1,6,30,2,0,0,0101000020346C00007822582E5413114197F0EEC04C521741
5,-3.082571,53.061559,W01000398,60,2016-01-04,2,3,1,6,30,2,0,0,0101000020346C0000E610C9C8EFFD134147C51869297E1541
6,-3.201023,53.274619,W01000305,60,2016-01-05,3,3,2,6,50,8,0,0,0101000020346C0000F6E96D961F881341E4C151A977F21641
7,-3.757916,53.29965,W01000154,60,2016-01-05,3,2,1,6,30,1,0,0,0101000020346C00009D07CA93FC441141EC2A6554FC291741
8,-3.570932,53.284064,W01000140,60,2016-01-04,3,2,1,1,30,2,0,0,0101000020346C000074BEFF9A15071241B0F764E45B0A1741
9,-3.260493,53.270769,W01000340,60,2016-01-07,3,1,2,3,70,2,0,0,0101000020346C0000C6C131340B4A1341D830DAB9D7EC1641
10,-3.001076,53.045983,W01000350,60,2016-01-07,3,2,1,1,30,4,0,0,0101000020346C00008A3E3420E452144109761507D9611541
11,-3.595142,52.912197,W01000051,60,2016-01-07,2,2,1,6,30,1,0,0,0101000020346C0000956EFEBB78DF1141081ED89698841441
12,-3.488583,53.319596,W01000240,60,2016-01-07,3,2,1,2,30,1,0,0,0101000020346C0000BB087308265E1241BBCB350C48461741
13,-3.079016,53.173611,W01000264,60,2016-01-07,3,2,2,6,30,2,0,0,0101000020346C0000575C580A98041441A6EAA47BDE401641
14,-3.602343,53.243533,W01000122,60,2016-01-08,3,1,1,6,60,5,0,0,0101000020346C00005BE7CE58C9E41141301F239BA3C41641
