id,longitude,latitude,lsoa_location,police_force,date,severity,vehicles,casualties,road_type,speed_limit,weather,road_conditions,human_crossing
1,-2.972152,53.212242,W01000332,60,2016-03-09,3,2,2,6,30,1,0,0
2,-4.258982,52.967692,W01000066,60,2016-01-01,1,1,1,6,60,1,0,0
3,-3.644616,52.94619,W01000082,60,2016-01-01,3,1,1,6,60,5,0,0
4,-3.806557,53.322118,W01000132,60,2016-01-01,3,3,1,6,30,2,0,0
5,-3.082571,53.061559,W01000398,60,2016-01-04,2,3,1,6,30,2,0,0
6,-3.201023,53.274619,W01000305,60,2016-01-05,3,3,2,6,50,8,0,0
7,-3.757916,53.29965,W01000154,60,2016-01-05,3,2,1,6,30,1,0,0
8,-3.570932,53.284064,W01000140,60,2016-01-04,3,2,1,1,30,2,0,0
9,-3.260493,53.270769,W01000340,60,2016-01-07,3,1,2,3,70,2,0,0
10,-3.001076,53.045983,W01000350,60,2016-01-07,3,2,1,1,30,4,0,0
11,-3.595142,52.912197,W01000051,60,2016-01-07,2,2,1,6,30,1,0,0
12,-3.488583,53.319596,W01000240,60,2016-01-07,3,2,1,2,30,1,0,0
13,-3.079016,53.173611,W01000264,60,2016-01-07,3,2,2,6,30,2,0,0
14,-3.602343,53.243533,W01000122,60,2016-01-08,3,1,1,6,60,5,0,0
15,-3.134904,53.246968,W01000288,60,2016-01-08,3,2,1,6,30,1,0,0
16,-4.347207,53.343218,W01000021,60,2016-01-09,3,2,1,6,60,1,6,0
17,-3.066647,53.051841,W01000364,60,2016-01-09,3,2,1,6,30,2,0,0
18,-3.055864,53.050769,W01000364,60,2016-01-09,3,2,1,6,30,2,0,0
19,-2.999432,53.055517,W01000422,60,2016-01-10,2,5,1,6,30,1,0,0
20,-3.814915,53.178587,W01000137,60,2016-01-10,3,1,1,6,60,1,0,0
21,-3.034304,53.064991,W01000401,60,2016-01-10,3,1,1,6,30,1,0,0
22,-3.301571,53.011296,W01000207,60,2016-01-11,3,1,1,6,50,8,0,0
23,-3.441322,53.300453,W01000223,60,2016-01-11,3,4,2,6,60,8,0,0
24,-3.323496,53.287454,W01000340,60,2016-01-11,3,1,1,6,60,8,0,0
25,-3.098643,53.117849,W01000339,60,2016-01-11,3,1,1,6,60,8,0,0
26,-3.201704,53.253451,W01000258,60,2016-01-11,2,2,11,6,50,1,0,0
27,-4.355563,53.310299,W01000028,60,2016-01-11,3,1,3,6,60,8,0,0
28,-3.335704,53.134268,W01000206,60,2016-01-11,3,1,1,6,40,1,0,0
29,-3.336709,53.195009,W01000206,60,2016-01-11,2,1,1,6,60,1,0,0
30,-3.411103,53.236377,W01000248,60,2016-01-11,3,2,2,6,60,1,0,0
31,-4.191359,53.263027,W01000013,60,2016-01-11,3,1,1,6,50,1,0,0
32,-3.680666,53.293644,W01000127,60,2016-01-11,3,2,1,3,70,1,0,0
33,-3.324942,53.151765,W01000204,60,2016-01-11,3,1,3,6,60,1,0,0
34,-3.033864,53.118258,W01000307,60,2016-01-11,2,2,1,6,30,1,0,0
35,-3.486427,53.318032,W01000236,60,2016-01-11,3,2,2,6,30,1,0,0
36,-3.05174,53.216968,W01000274,60,2016-01-08,3,2,1,6,30,1,0,0
37,-3.768887,53.314196,W01000175,60,2016-01-11,2,2,1,1,30,2,0,0
38,-3.709341,53.28955,W01000139,60,2016-01-11,3,2,1,6,30,2,0,0
39,-3.019457,53.072688,W01000378,60,2016-01-11,3,2,2,6,30,1,0,0
40,-3.830424,53.324073,W01000169,60,2016-01-12,3,1,1,6,30,5,0,0
41,-2.989163,53.045598,W01001931,60,2016-01-12,3,1,1,6,30,8,0,0
42,-3.43649,53.223506,W01000247,60,2016-01-13,3,1,3,6,60,2,7,0
43,-2.895947,53.03625,W01000383,60,2016-01-13,3,1,1,6,60,8,0,0
44,-3.317722,53.286052,W01000340,60,2016-01-13,3,2,1,6,60,2,0,0
45,-3.332633,53.003993,W01000207,60,2016-01-13,3,3,1,6,50,2,0,0
46,-3.91137,52.66648,W01001933,60,2016-01-13,3,1,2,6,60,6,0,0
47,-3.056716,53.008743,W01000405,60,2016-01-14,3,2,1,1,30,1,0,0
48,-4.626772,53.304533,W01000029,60,2016-01-14,2,1,2,6,30,2,0,0
49,-4.126553,53.228921,W01000076,60,2016-01-14,3,2,1,6,30,1,0,0
50,-3.105394,53.149771,W01000309,60,2016-01-14,3,2,1,6,60,8,0,0
51,-2.897971,52.99873,W01000345,60,2016-01-15,2,1,2,6,40,2,0,0
